p cnf 50 400
-24 29 -29 0 
14 11 -18 0 
35 -20 1 0 
15 17 19 0 
36 6 41 0 
45 -35 5 0 
44 -36 -14 0 
27 45 -47 0 
-3 -35 -37 0 
-49 -39 -16 0 
-28 -33 29 0 
-2 15 29 0 
10 32 -7 0 
-41 -39 -8 0 
-37 -1 2 0 
29 -39 12 0 
-14 -31 -26 0 
-38 -30 38 0 
-15 -31 -45 0 
12 28 -44 0 
-5 28 -25 0 
-26 4 43 0 
25 -50 33 0 
37 19 -9 0 
26 -33 31 0 
8 40 6 0 
29 -48 39 0 
8 7 -37 0 
10 -19 -19 0 
6 37 1 0 
-23 -14 6 0 
-9 38 -2 0 
-40 -4 39 0 
-49 -34 -37 0 
38 35 -17 0 
47 13 -33 0 
-34 -1 -5 0 
-43 13 -9 0 
-1 22 15 0 
-41 -25 -5 0 
-22 16 -18 0 
26 -38 50 0 
49 -5 -4 0 
31 -3 19 0 
29 41 23 0 
-40 11 -50 0 
-24 -3 15 0 
-14 -27 33 0 
-9 -2 -7 0 
9 12 -43 0 
-39 -11 10 0 
-35 -20 -44 0 
5 -25 41 0 
27 -7 30 0 
-33 -14 -22 0 
15 33 35 0 
46 -27 47 0 
-20 -4 -3 0 
50 12 -33 0 
4 -38 -45 0 
41 5 -2 0 
-41 -12 1 0 
46 -43 -11 0 
-20 -18 11 0 
30 -25 47 0 
-40 -37 17 0 
45 -5 -28 0 
-5 -17 -48 0 
-45 40 -4 0 
-34 26 -27 0 
50 -7 33 0 
37 44 2 0 
-1 26 -14 0 
-44 9 23 0 
-45 -23 27 0 
35 -16 6 0 
20 -4 -2 0 
15 -13 -45 0 
-21 -23 -1 0 
39 17 33 0 
28 -34 24 0 
-1 -50 -6 0 
40 43 -9 0 
-50 23 -42 0 
-43 -31 35 0 
-41 32 -18 0 
27 -40 38 0 
43 -1 15 0 
-7 6 25 0 
38 21 27 0 
-18 41 -9 0 
18 -18 -50 0 
43 -41 47 0 
10 38 -28 0 
14 -5 -16 0 
5 2 -5 0 
46 -31 36 0 
-45 14 -47 0 
47 -6 29 0 
-11 -15 37 0 
-35 31 -18 0 
-14 -33 -33 0 
12 -29 37 0 
15 40 -25 0 
-36 -49 -39 0 
-47 -4 -45 0 
-21 -38 -29 0 
-4 -19 -11 0 
-8 -5 -30 0 
13 -26 1 0 
29 -47 42 0 
36 -35 35 0 
17 -32 -21 0 
-34 31 -30 0 
-43 -25 40 0 
26 22 -6 0 
-34 29 19 0 
-30 -4 -47 0 
9 -16 -30 0 
-8 -18 32 0 
29 -30 34 0 
-18 -21 3 0 
48 -27 23 0 
46 -40 37 0 
-21 -46 47 0 
-42 6 13 0 
-39 34 -32 0 
47 -33 -15 0 
-34 -16 20 0 
34 -48 -9 0 
34 2 45 0 
38 4 10 0 
-12 12 -47 0 
4 8 6 0 
46 19 -33 0 
43 27 -17 0 
8 45 31 0 
-40 -2 -49 0 
-20 27 -24 0 
5 45 48 0 
20 7 -2 0 
29 35 -5 0 
48 36 1 0 
37 -47 -11 0 
-14 -8 4 0 
46 45 33 0 
-35 17 -1 0 
-34 15 30 0 
-25 46 -12 0 
-25 37 -36 0 
-4 50 -5 0 
9 29 -49 0 
-48 -7 36 0 
6 -13 23 0 
-23 19 -4 0 
-50 -6 33 0 
12 -4 -12 0 
24 43 -2 0 
-21 -27 -3 0 
27 49 25 0 
32 -36 42 0 
24 -8 15 0 
-36 -17 -16 0 
-19 43 -27 0 
23 31 -14 0 
-50 -37 -2 0 
7 2 21 0 
24 -43 -31 0 
7 -23 33 0 
-42 25 29 0 
-36 -26 20 0 
-9 -30 10 0 
42 21 49 0 
-39 24 -23 0 
2 2 -17 0 
-36 -39 20 0 
30 39 -36 0 
45 45 33 0 
-20 21 28 0 
-12 -18 -44 0 
46 -38 -35 0 
22 -30 8 0 
9 -10 35 0 
-24 -46 -31 0 
-19 17 35 0 
-10 -43 24 0 
11 47 49 0 
49 24 36 0 
-12 18 -44 0 
-1 -16 -25 0 
-15 27 -41 0 
-44 27 -31 0 
-35 50 -47 0 
-44 -22 -16 0 
20 -22 3 0 
-45 -33 22 0 
9 -8 -36 0 
-39 -9 -41 0 
-29 -25 -19 0 
-18 6 18 0 
11 -23 28 0 
26 -44 38 0 
-42 -49 -21 0 
-28 -40 19 0 
49 42 36 0 
46 18 -44 0 
35 24 26 0 
20 3 33 0 
-34 33 22 0 
-26 44 22 0 
8 -12 30 0 
-32 7 -43 0 
-19 43 -34 0 
-36 -34 -34 0 
29 14 -1 0 
27 44 38 0 
8 -42 14 0 
24 -24 -24 0 
27 -37 20 0 
-26 -44 -41 0 
16 -32 28 0 
6 -18 41 0 
23 15 26 0 
2 -47 -50 0 
-49 -37 -24 0 
-20 29 -29 0 
-28 12 -38 0 
-1 -2 32 0 
-39 -18 -31 0 
48 -38 12 0 
7 -23 16 0 
-42 49 16 0 
8 45 -8 0 
46 18 50 0 
-50 -48 19 0 
43 -36 -15 0 
-26 -44 25 0 
2 -42 -39 0 
15 -38 -43 0 
-8 -26 36 0 
20 47 -42 0 
7 31 -14 0 
7 -29 47 0 
15 41 18 0 
-22 -17 -48 0 
37 24 24 0 
-42 -49 35 0 
49 37 24 0 
-15 -26 -47 0 
50 -17 45 0 
-28 -3 -32 0 
-33 6 -23 0 
22 24 -7 0 
40 -36 -18 0 
-21 -5 15 0 
3 11 -2 0 
-25 25 -7 0 
20 29 -24 0 
47 -6 16 0 
-6 -10 8 0 
-32 -3 5 0 
-44 8 -32 0 
5 23 48 0 
-40 -6 -48 0 
-35 37 8 0 
-35 -34 -38 0 
4 -11 11 0 
36 -10 42 0 
-35 3 -20 0 
-36 23 -8 0 
17 -1 39 0 
-16 46 -27 0 
47 -4 -44 0 
-33 -34 11 0 
47 17 50 0 
47 4 26 0 
-2 -43 11 0 
7 -6 17 0 
43 41 -7 0 
15 -50 4 0 
-17 29 5 0 
-40 -2 -24 0 
20 -7 -22 0 
-27 -46 48 0 
4 -34 16 0 
-38 -5 -49 0 
-46 -29 -38 0 
-47 -18 -40 0 
-2 -6 -15 0 
-21 40 -26 0 
-20 -33 -16 0 
-50 2 -29 0 
38 25 28 0 
-22 27 -10 0 
-25 -50 -9 0 
-50 -25 3 0 
-6 47 -18 0 
37 -43 5 0 
-26 -7 35 0 
-22 12 -42 0 
7 32 -50 0 
-3 7 30 0 
-7 -9 19 0 
-42 28 45 0 
-43 50 -44 0 
10 45 -34 0 
3 18 -23 0 
-39 10 21 0 
-4 -18 -36 0 
-11 -42 -35 0 
12 -29 -42 0 
45 15 -38 0 
48 -11 39 0 
-8 -13 13 0 
